product_id,demand_units,cumulative_share,volume_class
SKU-118,28203,0.03458780504854655,A
SKU-013,26547,0.06714471249185985,A
SKU-041,23778,0.09630575310613279,A
SKU-078,21554,0.12273930804767703,A
SKU-019,19763,0.14697640307921359,A
SKU-087,18415,0.1695603278378912,A
SKU-030,15733,0.18885508147504976,A
SKU-021,15173,0.20746305814425506,A
SKU-004,14284,0.22498077637683453,A
SKU-017,13942,0.24207907010398538,A
SKU-025,13095,0.25813861366710694,A
SKU-009,12929,0.27399457691472806,A
SKU-107,12928,0.2898493137749064,A
SKU-077,12815,0.30556546885405134,A
SKU-039,12621,0.3210437047692981,A
SKU-090,11502,0.33514961313608116,A
SKU-068,11325,0.3490384509254933,A
SKU-085,11119,0.362674652901694,A
SKU-109,10622,0.37570134031883623,A
SKU-119,10608,0.3887108583117796,A
SKU-058,10180,0.4011954824792158,A
SKU-093,10040,0.4135084124046637,A
SKU-062,9713,0.4254203136363246,A
SKU-026,9553,0.4371359928771417,A
SKU-082,9388,0.44864931818990117,A
SKU-122,9184,0.4599124604643348,A
SKU-040,9129,0.47110815142941587,A
SKU-001,8898,0.48202054689521623,A
SKU-011,8562,0.4925208761802446,A
SKU-070,8446,0.5028789445219113,A
SKU-016,8405,0.5131867309784242,A
SKU-112,8300,0.5233657467534458,A
SKU-101,8287,0.5335288194917115,A
SKU-043,8011,0.5433534092957716,A
SKU-007,7791,0.5529081938624214,A
SKU-033,7784,0.5624543937169718,A
SKU-104,7612,0.5717896549313652,A
SKU-034,7529,0.5810231259880084,A
SKU-076,7331,0.5900137723309824,A
SKU-055,7199,0.5988425355315102,A
SKU-063,7183,0.6076516765329536,A
SKU-106,7110,0.6163712912510746,A
SKU-037,6971,0.62492043811465,A
SKU-057,6949,0.6334426044544844,A
SKU-072,6626,0.641568647650303,A
SKU-067,6569,0.6496247867618834,A
SKU-027,6422,0.657500646919376,A
SKU-094,6393,0.6653409418410283,A
SKU-124,6322,0.6730941632542436,A
SKU-028,6321,0.6808461582800162,A
SKU-003,6294,0.6885650408448338,A
SKU-032,6203,0.696172322152359,A
SKU-127,6140,0.7037023410509895,A
SKU-015,6120,0.7112078322007646,A
SKU-095,6020,0.7185906846062622,A
SKU-125,5852,0.7257675039213739,A
SKU-064,5751,0.7328204581047654,A
SKU-123,5551,0.7396281347996022,A
SKU-100,5445,0.7463058144255049,A
SKU-121,5138,0.7526069931064762,A
SKU-088,4940,0.7586653470737782,A
SKU-010,4845,0.7646071942340168,A
SKU-022,4803,0.7704975331216588,A
SKU-049,4591,0.7761278778714329,A
SKU-098,4591,0.781758222621207,A
SKU-105,4523,0.7873051730248724,A
SKU-052,4511,0.7928374067792245,A
SKU-054,4413,0.7982494545641848,A
SKU-073,4339,0.8035707496783799,A
SKU-061,4335,0.8088871392428039,B
SKU-006,4256,0.8141066441992487,B
SKU-103,4243,0.8193102061189375,B
SKU-044,4243,0.8245137680386263,B
SKU-008,4210,0.8296768591727035,B
SKU-038,4095,0.8346989157508619,B
SKU-048,4021,0.8396302196582549,B
SKU-096,3981,0.844512468067937,B
SKU-031,3969,0.8493799998283058,B
SKU-084,3893,0.8541543261430238,B
SKU-083,3825,0.8588452581116331,B
SKU-114,3787,0.8634895873574171,B
SKU-045,3720,0.8680517486445353,B
SKU-012,3674,0.8725574961092858,B
SKU-046,3664,0.8770509796996087,B
SKU-089,3607,0.8814745592056934,B
SKU-091,3583,0.8858687054131515,B
SKU-023,3538,0.8902076641856849,B
SKU-053,3471,0.8944644549995524,B
SKU-080,3380,0.8986096445561275,B
SKU-051,3152,0.9024752177757501,B
SKU-014,3108,0.9062868299478908,B
SKU-115,3091,0.9100775935335043,B
SKU-110,3056,0.9138254335586207,B
SKU-099,3037,0.9175499722223244,B
SKU-092,3020,0.921253662299501,B
SKU-066,2994,0.9249254663031654,B
SKU-047,2992,0.9285948175319443,B
SKU-086,2985,0.9322555840486239,B
SKU-111,2896,0.9358072020828965,B
SKU-036,2871,0.9393281604310997,B
SKU-069,2842,0.9428135535434625,B
SKU-075,2836,0.9462915883311688,B
SKU-074,2753,0.9496678329611248,B
SKU-035,2728,0.9530134179050114,B
SKU-018,2579,0.9561762711199248,C
SKU-002,2515,0.9592606355385006,C
SKU-128,2497,0.9623229249831066,C
SKU-097,2493,0.9653803088779414,C
SKU-117,1940,0.9677595005169223,C
SKU-126,1934,0.9701313338312466,C
SKU-116,1859,0.9724111880873629,C
SKU-020,1848,0.9746775520816088,C
SKU-071,1824,0.9769144827772279,C
SKU-005,1790,0.9791097162997928,C
SKU-108,1580,0.9810474084593753,C
SKU-059,1508,0.9828968007230781,C
SKU-065,1455,0.9846811944523137,C
SKU-056,1408,0.9864079479717391,C
SKU-029,1390,0.9881126265171946,C
SKU-060,1370,0.9897927773137946,C
SKU-113,1351,0.9914496267489817,C
SKU-081,1189,0.9929078014184397,C
SKU-050,1183,0.994358617763241,C
SKU-102,1160,0.9957812271968585,C
SKU-042,1087,0.9971143103471535,C
SKU-079,890,0.9982057951712221,C
SKU-120,782,0.9991648301514711,C
SKU-024,681,1.0,C
